"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG42748",2.16558572789109e-08,0.393553115173873,0.188,0.161,0.000269377208692373
"CG9586",2.20740851040756e-08,-0.463516426228374,0.029,0.043,0.000274579544609596
"Cdk1",2.2110634686118e-08,-0.746096937317454,0.016,0.027,0.000275034184860622
"CG8292",2.21557759039215e-08,-0.547836043752723,0.004,0.011,0.00027559569646888
"CG13377",2.23228275248122e-08,-0.788391985823546,0.012,0.022,0.000277673651581139
"CG32023",2.24585103931588e-08,1.43332572749478,0.015,0.006,0.000279361410780502
"ergic53",2.26739351751197e-08,-0.222572145784742,0.06,0.08,0.000282041079643314
"CG9766",2.28153178008741e-08,0.751939872389308,0.028,0.017,0.000283799738125073
"CG15528",2.29420816404052e-08,-0.557162785089348,0.038,0.054,0.000285376553525
"Prosbeta3",2.30340035181915e-08,-0.479171174679285,0.044,0.061,0.000286519969762785
"fs(1)Ya",2.33352907031001e-08,-0.548498324803683,0.029,0.043,0.000290267681055862
"schlank",2.35591643884502e-08,-0.277267657277046,0.127,0.154,0.000293052445827932
"Pisd",2.3821071744235e-08,-0.261082551768224,0.087,0.11,0.000296310311426539
"CG31673",2.50322248838754e-08,-0.43256659448843,0.028,0.042,0.000311375845330526
"CG8229",2.59445971618908e-08,-0.397498840863506,0.032,0.047,0.00032272484409676
"CG41128",2.72031235406263e-08,-0.289790693395726,0.151,0.179,0.00033837965372185
"PGRP-SB1",2.76108041530855e-08,-1.74458428593004,0.008,0.016,0.00034345079286023
"DNApol-theta",2.76649093969377e-08,0.858941264310529,0.018,0.009,0.000344123807988508
"CG4009",2.7897784750212e-08,-1.13944898207708,0.006,0.014,0.000347020544507887
"Mur18B",2.80164460892475e-08,0.436202150583738,0.063,0.046,0.000348496572904149
"Usf",2.82323393076118e-08,0.658010525994989,0.047,0.032,0.000351182068647383
"unc-45",2.86162141212913e-08,-0.65024886228054,0.016,0.027,0.000355957087454743
"MP1",2.95679989668155e-08,-0.434749819868596,0.035,0.05,0.000367796339148218
"CG31122",2.98833025211534e-08,-0.233294602128706,0.037,0.054,0.000371718400060627
"CG15155",2.99836468274721e-08,1.1329761329603,0.019,0.01,0.000372966582886926
"Diap1",3.06436876838236e-08,0.22450503012417,0.316,0.283,0.000381176831099082
"bib",3.06541440379152e-08,1.2285187700294,0.013,0.005,0.000381306897687627
"CG1105",3.16367947441598e-08,-0.186893116362973,0.06,0.081,0.000393530089822604
